name,formatted_address,rating,delivery,dine_in,reservable,serves_beer,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,user_ratings_total,vicinity,wheelchair_accessible_entrance,Latitude,Longitude,Postal Code,Neighbourhood,District
Maison du gourmet,"Carrer dels Comtes de Bell-Lloc, 132, 08014 Barcelona, Spain",3.9,0,1,1,1,1,1,1,0,1,1,128.0,"Carrer dels Comtes de Bell-Lloc, 132, Barcelona",True,41.3816704,2.1366471,08014,La Bordeta - Les Corts,Sants - Montjuic
Miquetes Màgiques Restaurant Macrobiòtic Barcelona,"C/ del Trobador, 20, 08041 Barcelona, Spain",4.7,0,1,1,1,0,0,1,1,1,0,183.0,"Carrer del Trobador, 20, Barcelona",False,41.414836,2.1776095,08041,El Guinardo,Horta - Guinardo
Olot restaurante,"C/ d'Olot, 24, 08024 Barcelona, Spain",3.3,0,1,1,1,0,0,1,0,1,1,50.0,"Carrer d'Olot, 24, Barcelona",True,41.41375060000001,2.1539071,08024,Gracia - Can Baro,Gracia
Sushi Neon,"Carrer de Dante Alighieri, 12, 08032 Barcelona, Spain",4.6,0,1,1,1,0,1,1,0,1,1,146.0,"Carrer de Dante Alighieri, 12, Barcelona",,41.4290311,2.1615866,08032,La Font d'en Fargues,Horta - Guinardo
La Brasa Roja - sagrada familia,"C/ de València, 433, 08013 Barcelona, Spain",4.0,1,1,1,1,1,1,1,0,1,1,1305.0,"Carrer de València, 433, Barcelona",True,41.4024183,2.1760848,08013,El Fort Pienc,Eixample
DI-OHH VERMUTERIA,"Carrer de Moliné, 8, 08006 Barcelona, Spain",5.0,0,1,1,1,1,1,1,1,1,0,13.0,"Carrer de Moliné, 8, Barcelona",False,41.3985236,2.1478848,08006,El Farro,Sarria - Sant Gervasi
Makanai,"C/ de Bailèn, 160, 08037 Barcelona, Spain",4.9,0,1,0,0,0,0,0,0,0,1,41.0,"Carrer de Bailèn, 160, Barcelona",,41.4004297,2.166175299999999,08037,Dreta Eixample,Eixample
Bar Restaurant 3sols,"Gran Via de les Corts Catalanes, 569, 08011 Barcelona, Spain",4.0,0,1,1,1,1,1,1,0,1,1,704.0,"Gran Via de les Corts Catalanes, 569, Barcelona",True,41.38476240000001,2.1614865,08011,Esquerra Eixample,Eixample
CUINA MEDITERRÀNIA,"Rambla del Poblenou, 142, 08018 Barcelona, Spain",,0,0,0,0,0,0,0,0,0,0,,"Rambla del Poblenou, 142, Barcelona",,41.4050405,2.1963561,08018,El Clot,Sant Marti
Restaurant la Granja de Santander,"Carrer de Sabino Arana, 30, 08028 Barcelona, Spain",3.7,0,1,1,1,0,0,1,0,1,1,108.0,"Carrer de Sabino Arana, 30, Barcelona",True,41.3856798,2.1249411,08028,Les Corts,Les Corts
Smash Burger House,"Rambla del Poblenou, 76, Local 2, 08005 Barcelona, Spain",4.8,1,1,0,1,1,1,1,1,0,1,263.0,"Rambla del Poblenou, 76, Local 2, Barcelona",True,41.4013216,2.2012082,08005,Poblenou,Sant Marti
Mesón A Veiga,"Travessera de Gràcia, 345, 08025 Barcelona, Spain",4.0,0,1,1,1,1,1,1,0,1,1,1464.0,"Travessera de Gràcia, 345, Barcelona",True,41.4075502,2.1674857,08025,Camps d'en Grassot i Gracia Nova,Gracia
Restaurante Miño,"C/ del Carme, 19, 08001 Barcelona, Spain",4.4,0,1,1,1,1,1,1,0,1,1,1371.0,"Carrer del Carme, 19, Barcelona",True,41.3823994,2.1707489,08001,El Raval,Ciutat Vella
Pasos Ecuador Barcelona,"C/ d'Aribau, 133, Local B, 08036 Barcelona, Spain",5.0,0,0,0,0,0,0,0,0,0,0,7.0,"Carrer d'Aribau, 133, Local B, Barcelona",True,41.3918684,2.154551499999999,08036,Esquerra Eixample,Eixample
BAR TAXI,"Carrer del Dr. Letamendi, 82, 08042 Barcelona, Spain",4.3,1,1,1,1,1,1,1,0,1,1,360.0,"Carrer del Doctor Letamendi, 82, Barcelona",True,41.4374178,2.1620812,08042,Canyelles - Roquetes,Nou Barris
FiskeBar Barcelona,"Passeig d'Ítaca, 3, 08039 Barcelona, Spain",4.3,0,1,1,1,0,1,1,0,1,0,371.0,"Passeig d'Ítaca, 3, Barcelona",True,41.37555,2.1819815,08039,Port de Barcelona,Sants - Montjuic
Broadbar,"C/ d'Aribau, 191, 08021 Barcelona, Spain",3.1,0,1,0,0,0,0,0,0,0,0,9.0,"Carrer d'Aribau, 191, Barcelona",,41.39501000000001,2.1497647,08021,Les Corts - Sarria,Les Corts
CHIDO ONE,"C/ de Torrijos, 50, 08012 Barcelona, Spain",4.6,0,1,1,1,0,1,1,0,1,1,105.0,"Carrer de Torrijos, 50, Barcelona",True,41.4038692,2.1584075,08012,Vila de Gracia,Gracia
Laie Llibreria Café,"C/ de Pau Claris, 85, 08010 Barcelona, Spain",4.4,0,0,0,0,0,0,0,0,0,0,2672.0,"Carrer de Pau Claris, 85, Barcelona",,41.389882,2.170694000000001,08010,Dreta Eixample,Eixample
Cerveseria Jazz,"Carrer de Margarit, 43, 08004 Barcelona, Spain",4.5,0,1,0,1,0,0,0,0,1,1,334.0,"Carrer de Margarit, 43, Barcelona",,41.372287,2.1632018,08004,Poble Sec,Sants - Montjuic
Magnum 7 Portes,"Carrer de Salvador Espriu, 73, 75, 08005 Barcelona, Spain",,0,1,0,0,0,0,0,0,0,0,,"Carrer de Salvador Espriu, 73, 75, Barcelona",,41.3913366,2.199924,08005,Poblenou,Sant Marti
Bar Restaurant Can Siscu,"08030 Barcelona, Spain",3.9,0,1,1,1,1,0,1,0,1,1,13.0,Spain,True,41.4453794,2.1903034,08030,San Andres Palomar,Sant Andreu
Curro Bar Restaurant,"C/ de Bilbao, 99, 08005 Barcelona, Spain",4.4,0,1,1,1,1,0,1,0,1,1,86.0,"Carrer de Bilbao, 99, Barcelona",,41.4045972,2.200947600000001,08005,Poblenou,Sant Marti
Lucciano’s,"Gran Via de les Corts Catalanes, 601, 08007 Barcelona, Spain",4.5,1,1,0,0,0,0,0,0,0,1,2468.0,"Gran Via de les Corts Catalanes, 601, Barcelona",True,41.3886239,2.1662843,08007,Antiga Esquerra Eixample,Eixample
